FoodName;calories;proteins;lipids;carbohydrates;fiber;measure_amount;measure_type;food_group;measure_total_grams;meal_set
Tapioca;48.00;0.64;0.00;10.80;0.00;1.00;Colher de sopa;Tuberculos e derivados;20.00;0&1&2&3&4&5
Tomate;15.00;1.10;0.20;3.10;1.20;4.00;Fatia;Verduras e Legumes;100.00;2&5
Uva Italia;53.00;0.70;0.20;13.60;0.90;10.00;Bagos;Frutas;100.00;0&1&2&3&4&5
Uva passa;63.00;0.60;0.10;15.00;0.00;1.00;Colher de sopa;Frutas desidratadas;15.00;0&1&2&3&4&5
VEGANPRO BAR - Nutrify;104.00;13.00;4.80;4.50;12.00;1.00;Unidade;Proteína;50.00;0&1&3&4
Vagem;25.00;1.80;0.72;5.30;2.40;4.00;Colher de sopa;Verduras e Legumes;100.00;2&5
Whey - Best Whey;132.00;25.00;1.50;4.50;0.00;1.00;Scoop;Proteína;25.00;0&1&3&4
Whey - Essential;104.00;22.00;0.70;4.50;0.00;1.00;Scoop;Proteína;30.00;0&1&3&4
Água de coco;38.00;0.00;0.00;9.40;0.00;1.00;Copo;Frutas;204.00;0&1&3&4&5
Óleo de coco;108.00;0.00;95.20;0.00;0.00;1.00;Colher de sopa;Gorduras (de adição);11.97;0&2&5
